term,freq,category
term,freq,category
term,freq,category
jews,9453,combined
jews_n,7401,no_harassment
jews_h,2052,harassment
rt,6234,combined
rt_n,4791,no_harassment
rt_h,1443,harassment
whitegenocide,2523,combined
whitegenocide_n,1855,no_harassment
fucking_h,692,harassment
fucking,2030,combined
fucking_n,1338,no_harassment
whitegenocide_h,668,harassment
white,1369,combined
white_n,918,no_harassment
white_h,451,harassment
like,1150,combined
like_n,834,no_harassment
like_h,316,harassment
people,1019,combined
people_n,752,no_harassment
cunt_h,279,harassment
just,923,combined
just_n,694,no_harassment
people_h,267,harassment
amp,848,combined
amp_n,655,no_harassment
just_h,229,harassment
whitelivesmatter,791,combined
whitelivesmatter_n,640,no_harassment
muslims_h,222,harassment
don,728,combined
israel_n,571,no_harassment
fuck_h,211,harassment
hitler,726,combined
don_n,548,no_harassment
hitler_h,197,harassment
israel,724,combined
hitler_n,529,no_harassment
kill_h,194,harassment
did,646,combined
rape_n,495,no_harassment
amp_h,193,harassment
rape,635,combined
did_n,488,no_harassment
hate_h,186,harassment
feminist,603,combined
feminist_n,462,no_harassment
don_h,180,harassment
muslims,577,combined
know_n,418,no_harassment
bitch_h,179,harassment
know,532,combined
god_n,408,no_harassment
muslim_h,178,harassment
god,503,combined
muslims_n,355,no_harassment
nigger_h,176,harassment
hate,500,combined
jesus_n,352,no_harassment
did_h,158,harassment
kill,495,combined
feminists_n,349,no_harassment
israel_h,153,harassment
feminists,461,combined
whitepower_n,325,no_harassment
whitelivesmatter_h,151,harassment
whitepower,452,combined
say_n,323,no_harassment
want_h,149,harassment
want,438,combined
think_n,315,no_harassment
feminist_h,141,harassment
bitch,424,combined
hate_n,314,no_harassment
rape_h,140,harassment
jesus,422,combined
said_n,312,no_harassment
whites_h,129,harassment
say,410,combined
kill_n,301,no_harassment
whitepower_h,127,harassment
world,410,combined
world_n,291,no_harassment
world_h,119,harassment
muslim,407,combined
want_n,289,no_harassment
black_h,117,harassment
think,406,combined
right_n,276,no_harassment
know_h,114,harassment
said,402,combined
women_n,274,no_harassment
feminists_h,112,harassment
black,375,combined
black_n,258,no_harassment
shit_h,107,harassment
fuck,373,combined
bitch_n,245,no_harassment
anti_h,107,harassment
right,361,combined
men_n,243,no_harassment
diversity_h,98,harassment
women,357,combined
anti_n,243,no_harassment
god_h,95,harassment
whites,352,combined
christians_n,243,no_harassment
racist_h,93,harassment
anti,350,combined
time_n,233,no_harassment
think_h,91,harassment
cunt,336,combined
muslim_n,229,no_harassment
killed_h,90,harassment
shit,314,combined
stop_n,224,no_harassment
said_h,90,harassment
stop,312,combined
whites_n,223,no_harassment
stop_h,88,harassment
man,306,combined
love_n,223,no_harassment
say_h,87,harassment
men,303,combined
man_n,220,no_harassment
ass_h,86,harassment
time,303,combined
good_n,217,no_harassment
man_h,86,harassment
killed,302,combined
killed_n,212,no_harassment
right_h,85,harassment
christians,295,combined
day_n,208,no_harassment
women_h,83,harassment
love,294,combined
shit_n,207,no_harassment
gas_h,82,harassment
racist,293,combined
jewish_n,202,no_harassment
need_h,81,harassment
diversity,291,combined
got_n,201,no_harassment
cunts_h,79,harassment
good,278,combined
racist_n,200,no_harassment
let_h,78,harassment
let,274,combined
let_n,196,no_harassment
make_h,73,harassment
